Date,Semaine,Jour,Aliment,"Date d'arrivé
Sacs",Poids/sac,Poids/kilos,Kilos,Sacs,Reste/kg,Reste/sac,Prix Provende,Prix Total
,,44,,,,,,,,,,
,,45,,,,,,,,,,
,,46,,,,,,,,,,
,,47,,,,,,,,,,
,,48,,,,,,,,,,
,,49,,,,,,,,,,
,8,50,,,,,,,,,,
,,51,,,,,,,,,,
,,52,,,,,,,,,,
,,53,,,,,,,,,,
,,54,,,,,,,,,,
,,55,,,,,,,,,,
,,56,,,,,,,,,,
,9,57,,,,,,,,,,
,,58,,,,,,,,,,
,,59,,,,,,,,,,
,,60,,,,,,,,,,
,,61,,,,,,,,,,
,,62,,,,,,,,,,
,,63,,,,,,,,,,
,10,64,,,,,,,,,,
,,65,,,,,,,,,,
,,66,,,,,,,,,,
,,67,,,,,,,,,,
,,68,,,,,,,,,,
,,69,,,,,,,,,,
,,70,,,,,,,,,,
,11,71,,,,,,,,,,
,,72,,,,,,,,,,
,,73,,,,,,,,,,
,,74,,,,,,,,,,
,,75,,,,,,,,,,
,,76,,,,,,,,,,
,,77,,,,,,,,,,
,12,78,,,,,,,,,,
,,79,,,,,,,,,,
,,80,,,,,,,,,,
,,81,,,,,,,,,,
,,82,,,,,,,,,,
,,83,,,,,,,,,,
,,84,,,,,,,,,,
,13,85,,,,,,,,,,
,,86,,,,,,,,,,
,,87,,,,,,,,,,
,,88,,,,,,,,,,
,,89,,,,,,,,,,
,,90,,,,,,,,,,
,,91,,,,,,,,,,
,14,92,,,,,,,,,,
,,93,,,,,,,,,,
,,94,,,,,,,,,,
,,95,,,,,,,,,,
,,96,,,,,,,,,,
,,97,,,,,,,,,,
,,98,,,,,,,,,,
,15,99,,,,,,,,,,
,,100,,,,,,,,,,
,,101,,,,,,,,,,
,,102,,,,,,,,,,
,,103,,,,,,,,,,
,,104,,,,,,,,,,
,,105,,,,,,,,,,
,16,106,,,,,,,,,,
,,107,,,,,,,,,,
,,108,,,,,,,,,,
,,109,,,,,,,,,,
,,110,,,,,,,,,,
,,111,,,,,,,,,,
,,112,,,,,,,,,,
,,113,,,,,,,,,,
,,114,,,,,,,,,,
,,115,,,,,,,,,,
,,116,,,,,,,,,,
,,117,,,,,,,,,,
,,118,,,,,,,,,,
,,119,,,,,,,,,,
,,120,,,,,,,,,,
,,121,,,,,,,,,,
,,122,,,,,,,,,,
,,123,,,,,,,,,,
,,124,,,,,,,,,,
,,125,,,,,,,,,,
,,126,,,,,,,,,,
,,127,,,,,,,,,,
,,128,,,,,,,,,,
,,129,,,,,,,,,,
,,130,,,,,,,,,,
,,131,,,,,,,,,,
,,132,,,,,,,,,,
,,133,,,,,,,,,,
,,134,,,,,,,,,,
,,135,,,,,,,,,,
,,136,,,,,,,,,,
,,137,,,,,,,,,,
,,138,,,,,,,,,,
,,139,,,,,,,,,,
,,140,,,,,,,,,,
