DateCommande,NumCommande,Client,Catégorie,Quantité,Statut,FactureID,PDF_URL
04/05/2026,044-05-2026,Nambinina,57-60gr,442,Livré,F-20260506-120202,https://drive.google.com/file/d/1hNFJWZzpbSdGLUrnYgTH4XzpxttUcULo/view?usp=drivesdk
04/05/2026,045-05-2026,B5,61-63gr,656,Livré,F-20260506-120308,https://drive.google.com/file/d/1BzUYMD_esJSVDhGjJAoPCrqbT7C3UT11/view?usp=drivesdk
04/05/2026,046-05-2026,Valpinson,64-66gr,612,Livré,F-20260506-121102,https://drive.google.com/file/d/1f-DfjH8s-vOSqQkYTpPGizna9Qt27JuL/view?usp=drivesdk
04/05/2026,049-05-2026,Bazary be,70-74gr,305,Livré,F-20260506-121218,https://drive.google.com/file/d/18D5vHFhnQpfXTjS_OzxSyOvM7NxRtuJt/view?usp=drivesdk
04/05/2026,050-05-2026,Bazary be,75gr +,55,Livré,F-20260506-121551,https://drive.google.com/file/d/11prcWqZEqqHoUMwsZk_YbidOzUvl2CbP/view?usp=drivesdk
04/05/2026,052-05-2026,Chinoise,Casser,108,Livré,F-20260506-130557,https://drive.google.com/file/d/1SkkIAzQt-wb1UfMEW0BgrpmK2XqTA6Jp/view?usp=drivesdk
05/05/2026,032-05-2026,Calypso,67-69gr,600,Livré,F-20260506-100211,https://drive.google.com/file/d/1TzitsDJ-Ppwg3wZjl_wr8GZYJ5Ch5flI/view?usp=drivesdk
05/05/2026,056-05-2026,La Paillote,64-66gr,400,Livré,F-20260507-042429,https://drive.google.com/file/d/1Fp2eWm3r88wpRC9KYNd9Rtk8yFg2fbk6/view?usp=drivesdk
05/05/2026,057-05-2026,Shaki,42-46gr,53,Livré,F-20260508-041612,https://drive.google.com/file/d/1WD0RW2fPql380efCEZLmYi8vkLE3tB6v/view?usp=drivesdk
05/05/2026,060-05-2026,Tanambao V,47-56gr,987,Livré,F-20260508-041803,https://drive.google.com/file/d/1rjJ8bLmYTKYsd9n0avtuZ9Pg3zepdNgl/view?usp=drivesdk
05/05/2026,061-05-2026,Mr Mamy,57-60gr,1559,Livré,F-20260508-041903,https://drive.google.com/file/d/135B5FQgi7jpkZXhjwzUPPM1y_6vXzLUH/view?usp=drivesdk
05/05/2026,062-05-2026,Brickaville,61-63gr,1019,Livré,F-20260508-042015,https://drive.google.com/file/d/1ut6cKjjP_pMzGEPz8kqrp_CXWAL41qr8/view?usp=drivesdk
05/05/2026,064-05-2026,Belle de jour,64-66gr,177,Livré,F-20260508-042113,https://drive.google.com/file/d/1lZzYNbWDQjYwAceu3Kxu3lzXDHeVZQNV/view?usp=drivesdk
05/05/2026,065-05-2026,Bazary be,70-74gr,138,Livré,F-20260508-042215,https://drive.google.com/file/d/1tDWewB4UPsK9GOwocGRrlzFU1ocM4dJc/view?usp=drivesdk
05/05/2026,066-05-2026,Bazary be,75gr +,23,Livré,F-20260508-042308,https://drive.google.com/file/d/1Sh4ig98n-NJz1R934BmW1TyrnSZ2BVq6/view?usp=drivesdk
05/05/2026,068-05-2026,Lasopy,Casser,42,Livré,F-20260508-042413,https://drive.google.com/file/d/1bvJKMmjGXvp-vTsY4uYGEqA08UY1nJLE/view?usp=drivesdk
06/05/2026,054-05-2026,MadaRest,64-66gr,125,Livré,F-20260506-131828,https://drive.google.com/file/d/1AFZ6jsPeBbdCyQ3-7Tp-ZMVrItClp9M_/view?usp=drivesdk
06/05/2026,070-05-2026,Linah,42-46gr,46,Livré,F-20260508-043016,https://drive.google.com/file/d/1Fz_utPqWhkK2D6E2jDwoNDVzEuQae5Fw/view?usp=drivesdk
06/05/2026,073-05-2026,Jirama,47-56gr,1005,Livré,F-20260508-043853,https://drive.google.com/file/d/1KVq4l0jbKn4FcOWitsCHFTonlwg3nSJO/view?usp=drivesdk
06/05/2026,074-05-2026,CFC,57-60gr,1509,Livré,F-20260508-044016,https://drive.google.com/file/d/1DS7Ziq1t7b8w7qFtMn_XPAmZYd9i0uEc/view?usp=drivesdk
06/05/2026,076-05-2026,Salazamay,61-63gr,1100,Livré,F-20260508-044232,https://drive.google.com/file/d/1l6Zck6eFIdhwCZOtl2mOpo-kl7oSjRWj/view?usp=drivesdk
06/05/2026,077-05-2026,Nambinina,64-66gr,685,Livré,F-20260508-044403,https://drive.google.com/file/d/1zirXD05Ocqo2r8CMr_uJmDyo1y-v8Pc2/view?usp=drivesdk
06/05/2026,078-05-2026,Major Shop,70-74gr,149,Livré,F-20260508-044537,https://drive.google.com/file/d/1-A44-CuErw_Vqf0H7d6AegaBaTsECY0Y/view?usp=drivesdk
06/05/2026,081-05-2026,Major Shop,75gr +,18,Livré,F-20260508-045412,https://drive.google.com/file/d/15gUBsktUEmGZFAFT1lL2NwUjtaM93P2_/view?usp=drivesdk
06/05/2026,082-05-2026,Chinoise,Casser,57,Livré,F-20260508-045555,https://drive.google.com/file/d/1Dpm_tx-NYvpEoYxK4Rm5W5YULvXHJpx2/view?usp=drivesdk
07/05/2026,083-05-2026,Fasankarana,42-46gr,30,Livré,F-20260508-050903,https://drive.google.com/file/d/1tATi6Rzff_3lQGhkueuJpcfc0VEoWWeZ/view?usp=drivesdk
07/05/2026,085-05-2026,B5,47-56gr,948,Livré,F-20260508-051106,https://drive.google.com/file/d/1io8ZqCZ02bQGaQndG8M0J_LSGgyPPGSR/view?usp=drivesdk
07/05/2026,087-05-2026,Bazary kely,57-60gr,1412,Livré,F-20260508-051211,https://drive.google.com/file/d/13PnEhOhOsvLOAkx38OU65EfBHgjNpq3L/view?usp=drivesdk
07/05/2026,095-05-2026,Ambohijafy,61-63gr,1139,Livré,F-20260508-051322,https://drive.google.com/file/d/1X5eDkgSxvefIao7KAx-xbkN3cPsnls4r/view?usp=drivesdk
07/05/2026,089-05-2026,Jirama,64-66gr,680,Livré,F-20260508-051430,https://drive.google.com/file/d/1rBtiGJLtNQviXy8ssojip4sTKRA2ojD-/view?usp=drivesdk
07/05/2026,091-05-2026,Pompier,70-74gr,151,Livré,F-20260508-051519,https://drive.google.com/file/d/1r8-w4QvkdybDCifHUXjCtG_rI-MbqKeP/view?usp=drivesdk
07/05/2026,092-05-2026,Pompier,75gr +,28,Livré,F-20260508-051604,https://drive.google.com/file/d/1_ETIZehfl3ZA0REWZ4b5jKzxqnbpfTOI/view?usp=drivesdk
07/05/2026,094-05-2026,Lasopy,Casser,51,Livré,F-20260508-051706,https://drive.google.com/file/d/1IlZ0DbpOpwjP8INQruvhi9NerB_XEARj/view?usp=drivesdk
08/05/2026,097-05-2026,Calypso,67-69gr,600,Livré,F-20260508-052612,https://drive.google.com/file/d/1ZPDdqb7Yv-CjnVzBbgZVmDWGR0jn4RjG/view?usp=drivesdk
08/05/2026,100-05-2026,Linah,42-46gr,62,Livré,F-20260509-055820,https://drive.google.com/file/d/1NBQZVHNBirjsP8AxWjqrAQsclNTKpRNY/view?usp=drivesdk
08/05/2026,102-05-2026,Jirama,47-56gr,880,Livré,F-20260509-060004,https://drive.google.com/file/d/1j2oR_pd8PTVc7OkOeLg-lcDXZW81Iwj0/view?usp=drivesdk
08/05/2026,104-05-2026,Sainte Marie,57-60gr,1278,Livré,F-20260509-060500,https://drive.google.com/file/d/1g3fMlLsI989WDGRaQILo0SnNbFzK9SO4/view?usp=drivesdk
08/05/2026,106-05-2026,Fenerive-Est,61-63gr,1336,Livré,F-20260509-061457,https://drive.google.com/file/d/1hZIpcnsnwoRD_USqnu7vr0bKZSJeRCLi/view?usp=drivesdk
08/05/2026,107-05-2026,Mr Rado,64-66gr,713,Livré,F-20260509-061551,https://drive.google.com/file/d/1O6hyzOeoc9fik9m3tdhFaMqnu90-Ms8x/view?usp=drivesdk
08/05/2026,109-05-2026,Bazary be,70-74gr,167,Livré,F-20260509-061653,https://drive.google.com/file/d/1L1KtU3bxMhWfPwWN8vZKhjpy3URg_fEf/view?usp=drivesdk
08/05/2026,110-05-2026,Bazary be,75gr +,28,Livré,F-20260509-061739,https://drive.google.com/file/d/1YDrASnwZAlPnftav0DXoR70WG957CvdF/view?usp=drivesdk
08/05/2026,112-05-2026,Chinoise,Casser,44,Livré,F-20260509-061821,https://drive.google.com/file/d/1vAeiVfnuLLTzvLrEoyVfjKQmYrwuV_D_/view?usp=drivesdk
09/05/2026,113-05-2026,Leader Price,57-60gr,840,Livré,F-20260509-062423,https://drive.google.com/file/d/1c1Q7-7aNKCY3IyqTXdumVBDW7xZ91ETo/view?usp=drivesdk
09/05/2026,114-05-2026,La braise,67-69gr,150,Livré,F-20260509-064616,https://drive.google.com/file/d/1FZpmJK36R6GQZ9zLgCw20duGEZcDo0--/view?usp=drivesdk
09/05/2026,116-05-2026,Linah,42-46gr,40,Livré,F-20260510-192545,https://drive.google.com/file/d/12prKm7_51PDpn5mwXTkRPmt1rT2feBrs/view?usp=drivesdk
09/05/2026,117-05-2026,Jirama,47-56gr,988,Livré,F-20260510-192658,https://drive.google.com/file/d/1SdSvMYSqUo4UgGyEx0sAYIay6ZfOUTad/view?usp=drivesdk
09/05/2026,118-05-2026,B5,57-60gr,693,Livré,F-20260510-192806,https://drive.google.com/file/d/1yEl2Jtg44ARekLYkdfPOaq5dDWbLfqQ3/view?usp=drivesdk
09/05/2026,120-05-2026,Mr Mamy,61-63gr,1065,Livré,F-20260510-193416,https://drive.google.com/file/d/1acdYY0_vGJvrvQeWHUwvFKrErgq_InS4/view?usp=drivesdk
09/05/2026,121-05-2026,Nambinina,64-66gr,695,Livré,F-20260510-193512,https://drive.google.com/file/d/1rzZvCwnvmxiKQZn7Tjd9KFsrfeslFDi6/view?usp=drivesdk
09/05/2026,122-05-2026,Naivo,67-69gr,800,Livré,F-20260510-193620,https://drive.google.com/file/d/1duaubZu9M1X4-VKP8JdYGoF2CzCGrPRq/view?usp=drivesdk
09/05/2026,125-05-2026,Pompier,70-74gr,189,Livré,F-20260510-193818,https://drive.google.com/file/d/1DPV50GbsI-vCC73aWIdSqxuQntJmbKm4/view?usp=drivesdk
09/05/2026,127-05-2026,Pompier,75gr +,20,Livré,F-20260510-193915,https://drive.google.com/file/d/1RLVC5Rav5XyMlFRIbsS7gToCj4linr_-/view?usp=drivesdk
09/05/2026,129-05-2026,Lasopy,Casser,41,Livré,F-20260510-194000,https://drive.google.com/file/d/19aQcLUENEhaKVKUsVwCqiwRGrH4lSLLC/view?usp=drivesdk
11/05/2026,132-05-2026,Fasankarana,42-46gr,89,Livré,F-20260512-081204,https://drive.google.com/file/d/17C1jZhpW6NfvKdMr9ynNa_i8wDCDhkfv/view?usp=drivesdk
11/05/2026,133-05-2026,Mangarano,47-56gr,1200,Livré,F-20260512-081345,https://drive.google.com/file/d/1AmnyqIR50ZWbtEW_WIAyu04wm8Fn_KS4/view?usp=drivesdk
11/05/2026,135-05-2026,Angéline,47-56gr,602,Livré,F-20260512-081604,https://drive.google.com/file/d/1yWOom4LoUzo3p1Gws2MmA7EqkD51bMtH/view?usp=drivesdk
11/05/2026,137-05-2026,Fenerive-Est,57-60gr,1300,Livré,F-20260512-081823,https://drive.google.com/file/d/1YScxNJiB5uV8brgRX1C8Q0pvLK9OdEAO/view?usp=drivesdk
11/05/2026,138-05-2026,CFC,57-60gr,1200,Livré,F-20260512-082003,https://drive.google.com/file/d/1B2ff1qCwq-eoFGwfS-jPKvM1zFWh3uJU/view?usp=drivesdk
11/05/2026,139-05-2026,Angéline,57-60gr,463,Livré,F-20260512-082234,https://drive.google.com/file/d/1Dd91lizOAm7SoGG34VjdDWT8VaDky4Yx/view?usp=drivesdk
11/05/2026,141-05-2026,Tanambao V,61-63gr,1400,Livré,F-20260512-082349,https://drive.google.com/file/d/1zhi6Ti4S61AOsu89MNr0btifyM6CErSx/view?usp=drivesdk
11/05/2026,143-05-2026,Nambinina,61-63gr,779,Livré,F-20260512-082528,https://drive.google.com/file/d/1pvS1YFU6JejKW0qK09ODGVhldwnU4XIE/view?usp=drivesdk
11/05/2026,144-05-2026,Jirama,64-66gr,800,Livré,F-20260512-082957,https://drive.google.com/file/d/1Vn6PQdCQgD2t0zgV8Z2fZmNMpDQe2o-D/view?usp=drivesdk
11/05/2026,146-05-2026,La Paillote,64-66gr,200,Livré,F-20260512-083046,https://drive.google.com/file/d/18SacaVHQVURFtdCDQupQE2U--zfcbzLG/view?usp=drivesdk
11/05/2026,148-05-2026,B5,64-66gr,467,Livré,F-20260512-083140,https://drive.google.com/file/d/1QReAXUWAWSllscZwnIO7jxD2ltUxxiIC/view?usp=drivesdk
11/05/2026,150-05-2026,Bazary be,70-74gr,351,Livré,F-20260512-111558,https://drive.google.com/file/d/1hBVDzhR8KHmyXoBmtczk8t5K3s5UA3rp/view?usp=drivesdk
11/05/2026,151-05-2026,Bazary be,75gr +,59,Livré,F-20260512-111807,https://drive.google.com/file/d/1fHrBMzdR2FUY_Upwx1Ox2V-ubIpiq7fK/view?usp=drivesdk
11/05/2026,153-05-2026,Chinoise,Casser,77,Livré,F-20260512-111920,https://drive.google.com/file/d/1goJ8_-2_fPQBMnMLnGHJOpJJLOATnyBE/view?usp=drivesdk
12/05/2026,154-05-2026,Linah,42-46gr,31,Livré,F-20260513-052714,https://drive.google.com/file/d/1iZgeo-97OztqIzJdH8iSGiFzgHp8GsoY/view?usp=drivesdk
12/05/2026,155-05-2026,Jirama,47-56gr,866,Livré,F-20260513-052807,https://drive.google.com/file/d/16k1qjjmoVGw0KANwZEuz4RNg5aA50_FE/view?usp=drivesdk
12/05/2026,156-05-2026,Poulet Gasy,57-60gr,600,Livré,F-20260513-052852,https://drive.google.com/file/d/1iRahZncT3U-3Et0W4nEnbzeyAOkCNEZH/view?usp=drivesdk
12/05/2026,157-05-2026,Ambolomadinika,57-60gr,800,Livré,F-20260513-053104,https://drive.google.com/file/d/1Ia8Bm5-6o3sQCrtZ8OSTwrgGdaVathlp/view?usp=drivesdk
12/05/2026,158-05-2026,Zoky Jo,57-60gr,78,Livré,F-20260513-053148,https://drive.google.com/file/d/1z3Krm4ci0_arhTzz8Pl_-BhpcgNOyJCe/view?usp=drivesdk
12/05/2026,159-05-2026,Salazamay,61-63gr,1104,Livré,F-20260513-053300,https://drive.google.com/file/d/1vSG_ARFHdYjt2XLhs2Lt1-Vob_MDRsIC/view?usp=drivesdk
12/05/2026,160-05-2026,Mr Rado,64-66gr,713,Livré,F-20260513-053356,https://drive.google.com/file/d/11RzU7qYBgo1sHPQVYdU2Ck_5klBxwP00/view?usp=drivesdk
12/05/2026,161-05-2026,Adan & Eve,67-69gr,30,Livré,F-20260513-053448,https://drive.google.com/file/d/1Z-HzVWwSLxZ58prRDpnyUKJ-t6zQF4ow/view?usp=drivesdk
12/05/2026,163-05-2026,EPP Tsiry,70-74gr,205,Livré,F-20260513-053519,https://drive.google.com/file/d/1IAhdKZlBPYQ0o-rypn26L-HayaXB2W2j/view?usp=drivesdk
12/05/2026,165-05-2026,EPP Tsiry,75gr +,24,Livré,F-20260513-053552,https://drive.google.com/file/d/1ey8azdMfVnKrBxobQ5GU8p0EtUIYlxF5/view?usp=drivesdk
12/05/2026,166-05-2026,Chinoise,Casser,51,Livré,F-20260513-053640,https://drive.google.com/file/d/1td_WqKvdFyLTa1nTWBTUfa8DtLzZgnYo/view?usp=drivesdk
13/05/2026,167-05-2026,Leader Price,57-60gr,960,Livré,F-20260513-054324,https://drive.google.com/file/d/1wnQbTGKk8qDK0qNb1Sk71fkoVLovgVh9/view?usp=drivesdk
13/05/2026,168-05-2026,Calypso,67-69gr,600,Livré,F-20260513-073837,https://drive.google.com/file/d/1bq0saHW9_EX3xwx-MzX6P79N-ar36kpb/view?usp=drivesdk
13/05/2026,170-05-2026,Linah,42-46gr,28,Livré,F-20260515-050504,https://drive.google.com/file/d/1PZV0FaXDfyhjtcyT_ig9n8dmLnrtxdsT/view?usp=drivesdk
13/05/2026,171-05-2026,Jirama,47-56gr,859,Livré,F-20260515-050600,https://drive.google.com/file/d/11YJdBPEk6mHQpaqo87BPB4VZsTZrXBdO/view?usp=drivesdk
13/05/2026,173-05-2026,Angéline,57-60gr,517,Livré,F-20260516-041939,https://drive.google.com/file/d/1e8dIGhPCgZNfKzxLZuZUYfyJkyD_7_29/view?usp=drivesdk
13/05/2026,174-05-2026,CFC,61-63gr,1113,Livré,F-20260516-042038,https://drive.google.com/file/d/1r7UfcjvfBM40ky3jZhFh8tvKysICBriF/view?usp=drivesdk
13/05/2026,176-05-2026,Mr Rado,64-66gr,720,Livré,F-20260516-042654,https://drive.google.com/file/d/1CvrvRw-R67vAp1LFlr9GmChZg2bBFdey/view?usp=drivesdk
13/05/2026,177-05-2026,Madsteel,67-69gr,1500,Livré,F-20260516-042753,https://drive.google.com/file/d/1xUF2ErLoccBL_4-hto_rZbMq7HKK0N9b/view?usp=drivesdk
13/05/2026,179-05-2026,Naivo,67-69gr,1000,Livré,F-20260516-042919,https://drive.google.com/file/d/1qNZKEDH6hnZwgIBKbRdyf1oS7WjfRaR6/view?usp=drivesdk
13/05/2026,180-05-2026,Pompier,70-74gr,201,Livré,F-20260516-043022,https://drive.google.com/file/d/1vqfKbgtdBBhSVXNcmhO98TrzPPNK8Qrb/view?usp=drivesdk
13/05/2026,183-05-2026,Pompier,75gr +,35,Livré,F-20260516-043113,https://drive.google.com/file/d/1aTy920Uh2avoMy35WNKrCgSlKui1bXE1/view?usp=drivesdk
13/05/2026,184-05-2026,Chinoise,Casser,50,Livré,F-20260516-043218,https://drive.google.com/file/d/1ZeKq5cFE7WZQ7YMqfEvYLUGcLxOUfQft/view?usp=drivesdk
14/05/2026,186-05-2026,Linah,42-46gr,46,Livré,F-20260516-044010,https://drive.google.com/file/d/1dFyJsFAapUnNCDqs2B9bcHWVsHSzgJd3/view?usp=drivesdk
14/05/2026,187-05-2026,B5,47-56gr,844,Livré,F-20260516-044055,https://drive.google.com/file/d/1Igt89uqNAmMTF_I3DsVxYzyZT9vbNwOj/view?usp=drivesdk
14/05/2026,188-05-2026,Mr Mamy,57-60gr,1494,Livré,F-20260516-044155,https://drive.google.com/file/d/1zKTorGNClAuKq6X-ZAZMTm_0T58xcM-X/view?usp=drivesdk
14/05/2026,189-05-2026,Bazary kely,61-63gr,1122,Livré,F-20260516-044339,https://drive.google.com/file/d/1yB6IJMNvEyTZ7PMkY3GeXfDWGSFZZD_N/view?usp=drivesdk
14/05/2026,190-05-2026,Mr Rado,64-66gr,566,Livré,F-20260516-044532,https://drive.google.com/file/d/1IiayLqEMd3gAR9qe5foRvPcezSKh2Suh/view?usp=drivesdk
14/05/2026,191-05-2026,La Paillote,64-66gr,200,Livré,F-20260516-044618,https://drive.google.com/file/d/1iRXQM7ABBvaHhugNJ3QQOZbKQo6zRXck/view?usp=drivesdk
14/05/2026,193-05-2026,Naivo,67-69gr,800,Livré,F-20260516-044733,https://drive.google.com/file/d/1yxnTZzFXbMSHVBzKw3Fby56t3XBA11PG/view?usp=drivesdk
14/05/2026,194-05-2026,Major Shop,70-74gr,203,Livré,F-20260516-044831,https://drive.google.com/file/d/1JNUM0J0pcbFEs7b8TWYhAyfIUmtZAvWT/view?usp=drivesdk
14/05/2026,195-05-2026,Major Shop,75gr +,26,Livré,F-20260516-044918,https://drive.google.com/file/d/1BcOclEsIq82Nus__GOpxGXvBEe7zFF4J/view?usp=drivesdk
14/05/2026,196-05-2026,Lasopy,Casser,34,Livré,F-20260516-045002,https://drive.google.com/file/d/1X6yicm_oTAuh5pv5cQxWUX5ex-NrGPIo/view?usp=drivesdk
15/05/2026,172-05-2026,Calypso,67-69gr,600,Livré,F-20260515-051447,https://drive.google.com/file/d/1Ll2m5JXpT36mk8TnS5VrXtuyBPfw-8zQ/view?usp=drivesdk
15/05/2026,198-05-2026,Poulet Gasy,47-56gr,810,Livré,F-20260516-045245,https://drive.google.com/file/d/18j9rwXUgu-Sl-1ydQqG42_RCXri0ViPg/view?usp=drivesdk
15/05/2026,201-05-2026,Fasankarana,42-46gr,29,Livré,F-20260516-045339,https://drive.google.com/file/d/1-5IG1Tdj0rXrXqJ0IKKo1ylXR8Ekwkrn/view?usp=drivesdk
15/05/2026,202-05-2026,Mangarano,57-60gr,1461,Livré,F-20260516-045424,https://drive.google.com/file/d/1du-l6vjGk167haHUg_mjMb38RgMKrtj9/view?usp=drivesdk
15/05/2026,203-05-2026,CFC,61-63gr,1094,Livré,F-20260516-045521,https://drive.google.com/file/d/1Vef3ni8Ui_F8NaLfK0irb_BPbhQSreE3/view?usp=drivesdk
15/05/2026,204-05-2026,Nambinina,64-66gr,756,Livré,F-20260516-045713,https://drive.google.com/file/d/1tGSKLNQXx6FQQboK39UUKQvU3NVd5se3/view?usp=drivesdk
15/05/2026,205-05-2026,EPP Tsiry,70-74gr,225,Livré,F-20260516-045813,https://drive.google.com/file/d/1ZP7Ysc_qvdEMaQ6CSgXi-iqUkZXwxy06/view?usp=drivesdk
15/05/2026,206-05-2026,EPP Tsiry,75gr +,34,Livré,F-20260516-045849,https://drive.google.com/file/d/1cp9g4gZbrEFuvTYtWk_FXa-9dudGVN6m/view?usp=drivesdk
15/05/2026,207-05-2026,Lasopy,Casser,28,Livré,F-20260516-045939,https://drive.google.com/file/d/1l9s1c5Sw-YGk4zzt4L_7ZdCzLPgkaA1v/view?usp=drivesdk
16/05/2026,208-05-2026,Linah,42-46gr,33,Livré,F-20260518-185445,https://drive.google.com/file/d/1PXxqO2qXymgL2pkGUEkZUQpCfLkwdyhL/view?usp=drivesdk
16/05/2026,209-05-2026,Jirama,47-56gr,849,Livré,F-20260518-185533,https://drive.google.com/file/d/1h8LaiPCzfHNbe918q4OWRhSDAAhRXhLt/view?usp=drivesdk
16/05/2026,210-05-2026,Fenerive-Est,57-60gr,1488,Livré,F-20260518-185617,https://drive.google.com/file/d/1S67Yn77MKbUOP8iB21uMr70Hc1zJ9Vw0/view?usp=drivesdk
16/05/2026,211-05-2026,CFC,61-63gr,1133,Livré,F-20260518-185715,https://drive.google.com/file/d/1OdYYtmSBsPtGqOIp73XK9IXvwQP5LIoP/view?usp=drivesdk
16/05/2026,213-05-2026,Mr Rado,64-66gr,758,Livré,F-20260518-185807,https://drive.google.com/file/d/1qIqAC0oRfnmWo27g0Uu3J13ELTL6drKd/view?usp=drivesdk
16/05/2026,215-05-2026,Salazamay,67-69gr,600,Livré,F-20260518-185902,https://drive.google.com/file/d/1NnGiBubcbCqXmJp5JHPt-jbyyB9Pb5QE/view?usp=drivesdk
